Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,SAW,IFS_TOPSIS,IFS_VIKOR,IFS_PROMETHEE,IFS_COPRAS,IFS_EDAS,IFS_SAW
P32,0.5828971377582052,0.5651002848025506,0.5329643067503623,0.5954055153625742,0.5157544660489424,0.5950889537690862,0.2357660075651841,0.5897923679871875,0.5434694939446076,0.6466936169782965,0.5584174836049552,0.6443788520099406
P33,0.39407681837074526,0.3269610111003207,0.3406843738588234,0.42664339582415817,0.37876761175392015,0.4455886888673083,0.3412537483054082,0.34395036762629405,0.3296767723416887,0.44657573735190037,0.3370079238076733,0.4723285350281084
P34,0.7364920766295392,0.7241305301951011,0.7913669068919932,0.7844064079618391,0.732831618144931,0.7954832826124245,0.5058919949000038,0.7457196227698812,0.7962607291724562,0.8168293235937673,0.7285203878560533,0.8322637752584028
P35,0.8772281518121304,0.8615042457173933,0.8993508481076251,0.8969323538525276,0.8722762769407495,0.8950309008790535,0.5915959293455914,0.8674834883840064,0.9115031077941419,0.932893746698689,0.9242733161400591,0.9310477878157097
P36,0.6079146029952263,0.5264754328006247,0.5857020638365218,0.6421250617294478,0.5965874035091465,0.6378270577117567,0.4081186455832563,0.5428214647517207,0.5959519882076257,0.6925118593975536,0.6898959635743636,0.6805255657853031
P37,0.4420239623191865,0.46696809012453044,0.33862198863340126,0.45230653558522266,0.3791202948157153,0.4500034085818618,0.14865038089048377,0.48578342669780117,0.3189529938675229,0.4849944165828993,0.40422812276794107,0.4817660705885962
P38,0.4041916843259793,0.4121784791655245,0.2981267082543724,0.4206366271348176,0.3525747906412747,0.42157918055327126,0.1406572954321356,0.4418903279820041,0.2912405546660558,0.4600970436599022,0.3758382428558672,0.4606422550005132
P39,0.6008232802733628,0.5774829394692941,0.611051516597204,0.644731913021297,0.5784683118825434,0.6549658789385883,0.40078151029143355,0.5838467267498751,0.6003160729254409,0.6727190490382189,0.5531908604444581,0.6866322989736122
P40,0.5874638474979185,0.5571858043213841,0.5797251086779738,0.6296509768623864,0.5480185953631337,0.6421493864205459,0.39110715035407223,0.5805596755977713,0.5851101061537403,0.6739637628360359,0.5424303912345877,0.6947155010348275
P41,0.47931223019732044,0.4039472890791722,0.46059900062984854,0.5256264879670716,0.4606636851043958,0.5440056892694557,0.2605636836635968,0.4243767368050715,0.45497818223905173,0.5590346081969306,0.42650920058041003,0.5854424954122249
